Band,Album,albumlink,n,mean,w.mean,diff,l95,CI,w.meanRank,meanRank,users5
Perturbator,New Model,/album/257876/Perturbator-New-Model/,97,3.898969072,3.712460193,-0.187,3.325013426,3.33 - 4.05,99,58,"Willie (8.4%), linguist2011 (7.0%), SCREAM%21 (6.2%), ComeToDaddy (4.0%), RivalSkoomaDealer (3.6%)"
Stevens / Dessner / Muhly / McAlister,Planetarium,/album/248205/Stevens---Dessner---Muhly---McAlister-Planetarium/,145,3.723448276,3.640440856,-0.083,3.322117712,3.32 - 3.93,100,300,"SowingSeason (4.2%), DoofusWainwright (2.7%), butcherboy (2.6%), Divaman (2.5%), TalonsOfFire (2.5%)"
Igorrr,Savage Sinusoid,/album/251055/Igorrr-Savage-Sinusoid/,98,3.775510204,3.70729081,-0.068,3.321567288,3.32 - 4.04,101,206,"linguist2011 (5.3%), DrGonzo1937 (5.2%), Storm+In+A+Teacup (4.9%), Calc (4.5%), Papa+Universe (4.0%)"
SZA,Ctrl,/album/253786/SZA-Ctrl/,175,3.657142857,3.608017406,-0.049,3.317580698,3.32 - 3.87,102,439,"BigHans (3.0%), greg84 (2.9%), Hep+Kat (2.9%), Arcade (2.4%), Conmaniac (2.3%)"
Bestia Arcana,Holokauston,/album/249295/Bestia-Arcana-Holokauston/,42,3.833333333,3.895648429,0.062,3.311872838,3.31 - 4.35,103,119,"Hawks (11.7%), Gameofmetal (9.3%), emester (6.1%), Anthracks (5.4%), Essence (5.4%)"
Kreator,Gods of Violence,/album/234806/Kreator-Gods-of-Violence/,200,3.689,3.58339645,-0.106,3.311155962,3.31 - 3.83,104,366,"Willie (4.3%), Hawks (3.7%), Spec (3.1%), Metalstyles (3.0%), theacademy (2.9%)"
Power Trip,Nightmare Logic,/album/236513/Power-Trip-Nightmare-Logic/,210,3.67,3.564343276,-0.106,3.298025044,3.3 - 3.81,105,403,"Willie (3.7%), BigHans (3.2%), linguist2011 (3.1%), Hep+Kat (3.0%), Irving (2.5%)"
(Sandy) Alex G,Rocket,/album/246397/Sandy-Alex-G-Rocket/,99,3.708080808,3.683053923,-0.025,3.297788347,3.3 - 4.02,106,335,"klap (5.3%), Ponton (4.4%), DoofusWainwright (4.1%), Arcade (3.9%), Conmaniac (3.8%)"
Balance and Composure,Slowheart,/album/251840/Balance-and-Composure-Slowheart/,38,3.789473684,3.911498553,0.122,3.297215431,3.3 - 4.38,107,181,"VheissuCrisis (14.2%), Sinternet (11.6%), betray (9.2%), East+Hastings (8.3%), Bloodhail (6.1%)"
Max Richter,Three Worlds: Music from Woolf Works,/album/243467/Max-Richter-Three-Worlds-Music-from-Woolf-Works/,53,3.801886792,3.818226242,0.016,3.295525876,3.3 - 4.25,108,164,"Atari (8.2%), Frippertronics (7.5%), Jacquibim (6.5%), Xenorazr (5.8%), jtswope (5.6%)"
Grizzly Bear,Painted Ruins,/album/253122/Grizzly-Bear-Painted-Ruins/,190,3.771052632,3.572185823,-0.199,3.292160978,3.29 - 3.83,109,214,"SowingSeason (4.1%), klap (3.5%), Frippertronics (3.0%), DoofusWainwright (2.6%), Papa+Universe (2.3%)"
Full of Hell,Trumpeting Ecstasy,/album/245601/Full-of-Hell-Trumpeting-Ecstasy/,248,3.713306452,3.537469317,-0.176,3.291887641,3.29 - 3.77,110,325,"linguist2011 (2.3%), Hawks (2.3%), Xenophanes (2.2%), Jacquibim (1.9%), DoofusWainwright (1.9%)"
Thy Art Is Murder,Dear Desolation,/album/254997/Thy-Art-Is-Murder-Dear-Desolation/,187,3.660427807,3.574124702,-0.086,3.291885608,3.29 - 3.83,111,434,"Willie (4.3%), Hawks (3.9%), DrGonzo1937 (3.6%), Gameofmetal (3.0%), kingdedethefifth (2.9%)"
Dad Thighs,The Ghosts That I Fear,/album/250464/Dad-Thighs-The-Ghosts-That-I-Fear/,31,3.829032258,3.970288831,0.141,3.29151395,3.29 - 4.47,112,131,"Trebor. (12.4%), AtomicWaste (7.5%), Conmaniac (7.0%), Lord%28e%29Po%29%29%29ts (6.5%), Artuma (5.4%)"
Septicflesh,Codex Omega,/album/255049/Septicflesh-Codex-Omega/,111,3.796396396,3.650140158,-0.146,3.28514308,3.29 - 3.97,113,174,"Willie (7.6%), Hawks (7.3%), linguist2011 (6.2%), Metalstyles (5.5%), Madbutcher3 (4.9%)"
Bedwetter,Volume 1: Flick Your Tongue Against Your Teeth...,/album/243579/Bedwetter-Volume-1-Flick-Your-Tongue-Against-Your-Teeth.../,79,3.775949367,3.715347945,-0.061,3.284267125,3.28 - 4.09,114,205,"Trebor. (7.7%), Rowan5215 (5.2%), jtswope (4.4%), JamieTwort (4.2%), Hurricanslash (3.9%)"
Paradise Lost,Medusa,/album/254786/Paradise-Lost-Medusa/,137,3.660583942,3.61126923,-0.049,3.281892588,3.28 - 3.91,115,433,"Willie (4.6%), DrGonzo1937 (4.0%), insomniac15 (3.9%), linguist2011 (3.7%), DoofusWainwright (3.5%)"
Desolate Shrine,Deliverance From The Godless Void,/album/265728/Desolate-Shrine-Deliverance-From-The-Godless-Void/,52,3.817307692,3.802847315,-0.014,3.273489009,3.27 - 4.24,116,146,"TheSpirit (9.2%), Hawks (7.9%), linguist2011 (7.3%), Jacquibim (6.3%), kingdedethefifth (5.8%)"
Persefone,Aathma,/album/235223/Persefone-Aathma/,186,3.848387097,3.557236344,-0.291,3.273464639,3.27 - 3.82,117,106,"Willie (3.5%), Hawks (3.3%), linguist2011 (2.8%), Storm+In+A+Teacup (2.8%), Jacquibim (2.5%)"
He Is Legend,few,/album/251265/He-Is-Legend-few/,125,3.74,3.611586275,-0.128,3.266247697,3.27 - 3.92,118,269,"Calc (5.7%), Spec (5.6%), jtswope (5.3%), Emim (3.7%), Winsomniac (3.5%)"
Anathema,The Optimist,/album/248019/Anathema-The-Optimist/,215,3.624651163,3.530057253,-0.095,3.265522674,3.27 - 3.78,119,499,"Willie (3.0%), Nagrarok (2.7%), DrGonzo1937 (2.6%), Rowan5215 (2.4%), menawati (2.3%)"
Soen,Lykaia,/album/235093/Soen-Lykaia/,221,3.817647059,3.524519479,-0.293,3.263471734,3.26 - 3.77,120,145,"Willie (4.0%), Nagrarok (3.5%), Hawks (3.4%), linguist2011 (3.4%), Storm+In+A+Teacup (3.0%)"
Ariel Pink,Dedicated to Bobby Jameson,/album/255337/Ariel-Pink-Dedicated-to-Bobby-Jameson/,81,3.611111111,3.690460205,0.079,3.263250162,3.26 - 4.06,121,522,"Frippertronics (6.3%), DoofusWainwright (5.5%), Papa+Universe (4.9%), Gyromania (4.9%), Jasdevi087 (4.7%)"
Pain of Salvation,In the Passing Light of Day,/album/236041/Pain-of-Salvation-In-the-Passing-Light-of-Day/,287,3.818815331,3.492347927,-0.326,3.262865833,3.26 - 3.71,122,141,"Trebor. (3.3%), Willie (2.8%), Nagrarok (2.5%), linguist2011 (2.4%), DrGonzo1937 (2.4%)"
Currents,The Place I Feel Safest,/album/252006/Currents-The-Place-I-Feel-Safest/,83,3.872289157,3.684228286,-0.188,3.26199739,3.26 - 4.05,123,90,"Willie (13.5%), Papa+Universe (8.7%), ComeToDaddy (6.5%), Ebola (4.8%), VikkiH (4.4%)"
Mac DeMarco,This Old Dog,/album/243542/Mac-DeMarco-This-Old-Dog/,235,3.638297872,3.512972889,-0.125,3.259570155,3.26 - 3.75,124,473,"klap (3.6%), DoofusWainwright (2.7%), Arcade (2.6%), Papa+Universe (2.4%), jtswope (2.3%)"
Archspire,Relentless Mutation,/album/262279/Archspire-Relentless-Mutation/,137,3.784671533,3.589915856,-0.195,3.259432993,3.26 - 3.89,125,190,"Willie (4.7%), Hawks (4.3%), linguist2011 (3.9%), Xenophanes (3.7%), Jacquibim (3.4%)"
Cannibal Corpse,Red Before Black,/album/261299/Cannibal-Corpse-Red-Before-Black/,124,3.640322581,3.605474532,-0.035,3.258368885,3.26 - 3.92,126,467,"Willie (4.5%), Atari (4.0%), Hawks (4.0%), linguist2011 (3.7%), Jacquibim (3.2%)"
Aeternam,Ruins of Empires,/album/242287/Aeternam-Ruins-of-Empires/,50,3.73,3.79541247,0.065,3.254312395,3.25 - 4.24,127,288,"south_of_heaven+11 (14.5%), TheNotrap (8.3%), Dewinged (7.4%), EverythingEvil2113 (6.2%), Dmax28 (5.9%)"
Tchornobog,Tchornobog,/album/241367/Tchornobog-Tchornobog/,61,3.732786885,3.745168078,0.012,3.253935669,3.25 - 4.16,128,279,"Hawks (6.7%), Jacquibim (5.5%), Gameofmetal (5.3%), Wizard (5.1%), Archelirion (4.9%)"
King Gizzard and the Lizard Wizard,Flying Microtonal Banana,/album/236071/King-Gizzard-and-The-Lizard-Wizard-Flying-Microtonal-Banana/,286,3.678321678,3.482640669,-0.196,3.252417352,3.25 - 3.7,129,393,"greg84 (2.9%), DoofusWainwright (2.5%), Arcade (2.5%), jtswope (2.2%), Papa+Universe (2.2%)"
David Bowie,No Plan,/album/241842/David-Bowie-No-Plan/,167,3.667664671,3.552141755,-0.116,3.251973989,3.25 - 3.83,130,405,"Nagrarok (2.9%), DrGonzo1937 (2.7%), Frippertronics (2.7%), Rowan5215 (2.5%), DoofusWainwright (2.3%)"
Feist,Pleasure,/album/250002/Feist-Pleasure/,101,3.618811881,3.635874491,0.017,3.251692036,3.25 - 3.98,131,509,"BigHans (5.8%), greg84 (5.6%), butcherboy (4.7%), Papa+Universe (4.3%), jtswope (4.2%)"
Hundredth,Rare,/album/252488/Hundredth-Rare/,138,3.663043478,3.57879599,-0.084,3.248989356,3.25 - 3.88,132,427,"Gameofmetal (4.1%), Chamberbelain (3.7%), Shamus248 (3.1%), TheSpaceMan (2.7%), ianblxdsoe (2.7%)"
Kamasi Washington,Harmony of Difference,/album/258479/Kamasi-Washington-Harmony-of-Difference/,86,3.787209302,3.662486954,-0.125,3.246572216,3.25 - 4.03,133,184,"Calc (4.2%), Arcade (4.0%), Papa+Universe (3.7%), JohnnyOnTheSpot (3.5%), Fugue (3.3%)"
White Moth Black Butterfly,Atone,/album/260827/White-Moth-Black-Butterfly-Atone/,37,3.824324324,3.866186715,0.042,3.238407689,3.24 - 4.35,134,135,"Confessed2005 (16.3%), clavier (9.5%), BlushfulHippocrene (7.1%), AlexTM510 (6.9%), Drummerboy123 (5.9%)"
"21 Savage, Offset and Metro Boomin",Without Warning,/album/267034/21-Savage-Offset-and-Metro-Boomin-Without-Warning/,80,3.55,3.662893812,0.113,3.231061658,3.23 - 4.04,135,641,"Trebor. (8.9%), Arcade (5.5%), Scoot (5.1%), jtswope (4.8%), Ryus (4.1%)"
Open Mike Eagle,Brick Body Kids Still Daydream,/album/262137/Open-Mike-Eagle-Brick-Body-Kids-Still-Daydream/,78,3.782051282,3.666043398,-0.116,3.228693499,3.23 - 4.05,136,197,"greg84 (6.5%), Calc (5.6%), jtswope (5.0%), JamieTwort (4.9%), tom79 (4.7%)"
Boris,Dear,/album/252623/Boris-Dear/,140,3.627142857,3.55710377,-0.07,3.228669808,3.23 - 3.86,137,489,"Trebor. (4.5%), Willie (3.8%), insomniac15 (3.2%), linguist2011 (3.1%), Frippertronics (3.1%)"
Thantifaxath,Void Masquerading as Matter,/album/267426/Thantifaxath-Void-Masquerading-as-Matter/,33,3.848484848,3.888402912,0.04,3.223351286,3.22 - 4.39,138,105,"Hawks (14.1%), TVC15 (8.2%), RivalSkoomaDealer (7.0%), Essence (6.4%), cryptologous (6.4%)"
Denzel Curry,13,/album/255597/Denzel-Curry-13/,121,3.609090909,3.574706452,-0.034,3.221549988,3.22 - 3.89,139,529,"Trebor. (5.6%), Hep+Kat (4.1%), Arcade (3.6%), Calc (3.5%), Conmaniac (3.2%)"
Mogwai,Every Country's Sun,/album/252843/Mogwai-Every-Countrys-Sun/,144,3.579861111,3.54506092,-0.035,3.220784026,3.22 - 3.84,140,586,"Willie (4.9%), insomniac15 (4.1%), DoofusWainwright (3.5%), Metalstyles (3.5%), AtomicWaste (3.2%)"
Nine Inch Nails,Add Violence,/album/257058/Nine-Inch-Nails-Add-Violence/,202,3.601485149,3.487801432,-0.114,3.212980474,3.21 - 3.74,141,541,"SowingSeason (3.8%), Willie (3.4%), insomniac15 (2.9%), greg84 (2.8%), Frippertronics (2.8%)"
Flotation Toy Warning,The Machine That Made Us,/album/252079/Flotation-Toy-Warning-The-Machine-That-Made-Us/,71,3.746478873,3.671017095,-0.075,3.212065331,3.21 - 4.07,142,258,"DoofusWainwright (5.5%), butcherboy (5.4%), Conmaniac (5.0%), Papa+Universe (5.0%), Archelirion (4.9%)"
Name,...You Are Mostly Nowhere,/album/267217/Name-.%E2%80%8B.%E2%80%8B.%E2%80%8BYou-Are-Mostly-Nowhere/,13,3.923076923,4.261990922,0.339,3.210549311,3.21 - 4.84,143,36,"XingKing (30.1%), hesperus (27.8%), BlazinBlitzer (14.9%), ReAnimator (14.4%), AdoreSwancore (5.1%)"
Billy Woods,Known Unknowns,/album/254917/Billy-Woods-Known-Unknowns/,58,3.732758621,3.716540063,-0.016,3.209917864,3.21 - 4.14,144,280,"jtswope (6.4%), Jasdevi087 (6.0%), Lord%28e%29Po%29%29%29ts (5.6%), Ryus (5.1%), VaxXi (4.0%)"
Hail the Sun,Secret Wars,/album/267802/Hail-the-Sun-Secret-Wars/,69,3.898550725,3.675076987,-0.223,3.20952221,3.21 - 4.07,145,59,"Calc (8.8%), DoofusWainwright (8.8%), Drubbi (4.6%), clavier (4.6%), beachdude (4.1%)"
Wolves in the Throne Room,Thrice Woven,/album/255820/Wolves-in-the-Throne-Room-Thrice-Woven/,171,3.648538012,3.505908138,-0.143,3.207359453,3.21 - 3.78,146,451,"Trebor. (3.6%), Willie (3.1%), Crysis (2.9%), Hawks (2.7%), linguist2011 (2.6%)"
The Birthday Massacre,Under Your Spell,/album/247589/The-Birthday-Massacre-Under-Your-Spell/,55,3.572727273,3.726622622,0.154,3.206491496,3.21 - 4.16,147,597,"BallsToTheWall (10.5%), Willie (6.9%), pizzamachine (6.3%), DrGonzo1937 (5.6%), linguist2011 (5.6%)"
Dance Gavin Dance,Summertime Gladness / Pussy Vultures,/album/255622/Dance-Gavin-Dance-Summertime-Gladness---Pussy-Vultures/,47,3.691489362,3.766816267,0.075,3.205288373,3.21 - 4.22,148,361,"dub+sean (12.8%), SweeneyTodd (8.4%), ZachNyeScienceGuy (8.1%), brainmelter (7.2%), Joeman82 (7.0%)"
Propagandhi,Victory Lap,/album/257353/Propagandhi-Victory-Lap/,153,3.833333333,3.5199069,-0.313,3.204445121,3.2 - 3.81,149,119,"Trebor. (5.3%), Willie (4.7%), DrGonzo1937 (3.8%), greg84 (3.8%), Spec (3.4%)"
Icarus the Owl,Rearm Circuits,/album/263635/Icarus-the-Owl-Rearm-Circuits/,52,3.807692308,3.738832457,-0.069,3.204145,3.2 - 4.18,150,155,"Calc (9.3%), Papa+Universe (8.3%), Toondude10 (7.8%), Drubbi (4.7%), Ebola (4.6%)"
Four Tet,New Energy,/album/263588/Four-Tet-New-Energy/,76,3.698684211,3.645944173,-0.053,3.201321829,3.2 - 4.03,151,346,"Ponton (6.0%), DoofusWainwright (5.5%), Arcade (5.3%), Lord%28e%29Po%29%29%29ts (4.9%), jtswope (4.7%)"
Fleshkiller,Awaken,/album/260921/Fleshkiller-Awaken/,32,3.875,3.877992278,0.003,3.200844804,3.2 - 4.39,152,83,"Dmax28 (16.8%), Danred97 (10.0%), Hellscythe (8.8%), elephantREVOLUTION (8.1%), Shadowmire (7.8%)"
Fit for an Autopsy,The Great Collapse,/album/243528/Fit-for-an-Autopsy-The-Great-Collapse/,151,3.754966887,3.517565938,-0.237,3.19986107,3.2 - 3.81,153,240,"Willie (5.6%), linguist2011 (4.6%), Scoot (3.8%), Gameofmetal (3.8%), Thor (3.6%)"
Blood Cultures,Happy Birthday,/album/259967/Blood-Cultures-Happy-Birthday/,52,3.721153846,3.73285355,0.012,3.197694163,3.2 - 4.18,154,305,"klap (5.6%), Hawks (5.4%), Atari (5.3%), theacademy (4.7%), Rowan5215 (4.6%)"
Hell (USA),Hell,/album/259137/Hell-USA-Hell/,30,3.85,3.896049059,0.046,3.196989752,3.2 - 4.42,155,102,"Hawks (12.8%), Papa+Universe (9.4%), Archelirion (9.3%), ComeToDaddy (7.2%), emester (6.7%)"
PVRIS,"All We Know of Heaven, All We Need of Hell",/album/251739/PVRIS-All-We-Know-of-Heaven-All-We-Need-of-Hell/,154,3.584415584,3.509456121,-0.075,3.194587747,3.19 - 3.8,156,577,"Willie (5.0%), theacademy (3.9%), Mongi123 (3.5%), Gameofmetal (3.4%), Divaman (3.4%)"
The Contortionist,Clairvoyant,/album/254762/The-Contortionist-Clairvoyant/,281,3.745551601,3.428236029,-0.317,3.194144158,3.19 - 3.65,157,259,"Trebor. (3.5%), Willie (2.9%), DrGonzo1937 (2.4%), linguist2011 (2.4%), Spec (2.3%)"
Kelela,Take Me Apart,/album/258630/Kelela-Take-Me-Apart/,97,3.721649485,3.586191298,-0.135,3.190991339,3.19 - 3.94,158,304,"BigHans (4.9%), Rowan5215 (4.3%), DoofusWainwright (4.1%), jtswope (3.6%), Jasdevi087 (3.5%)"
The Afghan Whigs,In Spades,/album/246991/The-Afghan-Whigs-In-Spades/,75,3.649333333,3.636818788,-0.013,3.188538519,3.19 - 4.03,159,450,"SowingSeason (6.5%), DoofusWainwright (4.3%), butcherboy (4.1%), Divaman (4.0%), Arcade (4.0%)"
Incendiary,Thousand Mile Stare,/album/246887/Incendiary-Thousand-Mile-Stare/,64,3.7734375,3.670273538,-0.103,3.185771893,3.19 - 4.08,160,210,"Papa+Universe (9.8%), botb (5.5%), hesperus (5.3%), RoundOnEndHiInMiddle (5.3%), JasonCarne (4.7%)"
The Dear Hunter,All Is As All Should Be,/album/262034/The-Dear-Hunter-All-Is-As-All-Should-Be/,107,3.899065421,3.561634999,-0.337,3.184654658,3.18 - 3.9,161,57,"SowingSeason (8.3%), Calc (5.4%), DoofusWainwright (5.3%), Papa+Universe (4.8%), Toondude10 (4.5%)"
St. Vincent,MASSEDUCTION,/album/261249/St.-Vincent-MASSEDUCTION/,260,3.555769231,3.427913793,-0.128,3.184354943,3.18 - 3.66,162,630,"SowingSeason (2.7%), klap (2.2%), Atari (2.2%), greg84 (2.0%), Frippertronics (2.0%)"
Cigarettes After Sex,Cigarettes After Sex,/album/247823/Cigarettes-After-Sex-Cigarettes-After-Sex/,162,3.625308642,3.49120832,-0.134,3.183643117,3.18 - 3.77,163,491,"Willie (3.7%), klap (3.5%), DoofusWainwright (2.6%), butcherboy (2.6%), Arcade (2.5%)"
Paramore,After Laughter,/album/250574/Paramore-After-Laughter/,513,3.457894737,3.35054694,-0.107,3.176396922,3.18 - 3.52,164,807,"SowingSeason (1.6%), Willie (1.4%), klap (1.3%), Green+Baron (1.3%), greg84 (1.2%)"
Rosetta,Utopioid,/album/260621/Rosetta-Utopioid/,83,3.731325301,3.602527908,-0.129,3.175133115,3.18 - 3.98,165,282,"Willie (7.9%), insomniac15 (6.6%), Confessed2005 (4.8%), Ignimbrite (3.9%), DarkNoctus (3.9%)"
John Mayer,The Search for Everything - Wave Two,/album/245356/John-Mayer-The-Search-for-Everything---Wave-Two/,44,3.693181818,3.756523443,0.063,3.174295008,3.17 - 4.23,166,353,"Storm+In+A+Teacup (14.7%), Killerhit (10.7%), tommygun (7.4%), dub+sean (7.1%), gotsthedewsdood (6.6%)"
Sorority Noise,You're Not As ____ As You Think,/album/242716/Sorority-Noise-Youre-Not-As-____-As-You-Think/,205,3.644878049,3.448334478,-0.197,3.174104156,3.17 - 3.7,167,458,"Trebor. (3.4%), SowingSeason (3.1%), Atari (2.5%), Green+Baron (2.4%), Storm+In+A+Teacup (2.2%)"
Cranial,"Dark Towers, Bright Lights",/album/251393/Cranial-Dark-Towers-Bright-Lights/,32,3.915625,3.853592386,-0.062,3.174040416,3.17 - 4.37,168,44,"Willie (11.8%), Papa+Universe (7.8%), Archelirion (7.6%), Ignimbrite (6.3%), PistolPete (5.3%)"
Tricot,3,/album/251899/Tricot-3/,72,3.763888889,3.626092117,-0.138,3.167523885,3.17 - 4.02,169,227,"Trebor. (12.0%), Archelirion (6.7%), ianblxdsoe (4.6%), zaruyache (4.5%), Tyler. (4.1%)"
Susanne Sundfor,Music For People In Trouble,/album/254797/Susanne-Sundfor-Music-For-People-In-Trouble/,68,3.683823529,3.637851207,-0.046,3.166242682,3.17 - 4.04,170,378,"klap (7.3%), Atari (6.9%), DoofusWainwright (5.5%), Conmaniac (5.0%), Jasdevi087 (4.9%)"
Neil Young,Hitchhiker,/album/258825/Neil-Young-Hitchhiker/,45,3.755555556,3.739306069,-0.016,3.162513189,3.16 - 4.21,171,237,"Frippertronics (13.5%), DoofusWainwright (11.7%), SandwichBubble (5.9%), StarlessCore (5.6%), mallen- (5.2%)"
Hot Water Music,Light it Up,/album/254319/Hot-Water-Music-Light-it-Up/,50,3.76,3.710085201,-0.05,3.162039807,3.16 - 4.17,172,230,"Atari (14.0%), Storm+In+A+Teacup (12.0%), theacademy (10.1%), tom79 (9.4%), Masochist (6.4%)"
Ulsect,Ulsect,/album/250686/Ulsect-Ulsect/,82,3.652439024,3.59216317,-0.06,3.161466647,3.16 - 3.97,173,448,"Willie (5.3%), Hawks (4.7%), linguist2011 (4.4%), Spec (4.1%), Xenophanes (4.0%)"
Jay Som,Everybody Works,/album/242203/Jay-Som-Everybody-Works/,84,3.677380952,3.583017038,-0.094,3.157125293,3.16 - 3.96,174,394,"klap (6.1%), DoofusWainwright (4.7%), Conmaniac (4.3%), Papa+Universe (4.2%), Gyromania (4.2%)"
Bonobo,Migration,/album/241231/Bonobo-Migration/,154,3.532467532,3.472781815,-0.06,3.156355985,3.16 - 3.76,175,670,"DoofusWainwright (2.8%), Calc (2.8%), Xenorazr (2.5%), Papa+Universe (2.5%), jtswope (2.4%)"
Arca,Arca,/album/245667/Arca-Arca/,190,3.574736842,3.441135498,-0.134,3.155780884,3.16 - 3.71,176,594,"Trebor. (4.0%), SowingSeason (3.9%), DrGonzo1937 (2.9%), DoofusWainwright (2.5%), Calc (2.5%)"
Super Snake,Leap of Love,/album/244751/Super-Snake-Leap-of-Love/,57,3.692982456,3.670076661,-0.023,3.155426679,3.16 - 4.11,177,355,"Willie (11.7%), Storm+In+A+Teacup (8.7%), Comatorium. (6.1%), Anthracks (4.3%), Sniff (3.9%)"
Freddie Gibbs,You Only Live 2wice,/album/246824/Freddie-Gibbs-You-Only-Live-2wice/,127,3.539370079,3.50318067,-0.036,3.155269049,3.16 - 3.82,178,660,"Trebor. (5.3%), Hep+Kat (3.7%), Rowan5215 (3.5%), Arcade (3.2%), JamieTwort (2.9%)"
Alvvays,Antisocialites,/album/259324/Alvvays-Antisocialites/,142,3.621830986,3.484329129,-0.138,3.154969821,3.15 - 3.79,179,500,"klap (4.3%), Frippertronics (3.7%), DoofusWainwright (3.2%), Papa+Universe (2.8%), jtswope (2.7%)"
Fever Ray,Plunge,/album/266394/Fever-Ray-Plunge/,133,3.45112782,3.492676375,0.042,3.152441565,3.15 - 3.8,180,819,"greg84 (3.3%), Frippertronics (3.3%), Ponton (3.1%), DoofusWainwright (2.9%), butcherboy (2.8%)"
Wode,Servants of the Countercosmos,/album/253715/Wode-Servants-of-the-Countercosmos/,30,3.633333333,3.852724745,0.219,3.149356393,3.15 - 4.39,181,479,"Hawks (18.1%), Gameofmetal (14.0%), Archelirion (13.1%), Evok (8.0%), clavier (7.5%)"
Sun of the Sleepless,To The Elements,/album/255627/Sun-of-the-Sleepless-To-The-Elements/,43,3.679069767,3.739480512,0.06,3.148779446,3.15 - 4.22,182,387,"Willie (10.1%), Hawks (9.4%), linguist2011 (8.2%), Gameofmetal (7.0%), Papa+Universe (6.8%)"
Samsara Blues Experiment,One with the Universe,/album/247706/Samsara-Blues-Experiment-One-with-the-Universe/,55,3.754545455,3.670951019,-0.084,3.146698466,3.15 - 4.11,183,241,"insomniac15 (9.7%), linguist2011 (9.3%), Papa+Universe (8.1%), jtswope (7.1%), Chamberbelain (7.0%)"
Citizen,As You Please,/album/256962/Citizen-As-You-Please/,153,3.745098039,3.46398648,-0.281,3.146142003,3.15 - 3.76,184,261,"Trebor. (5.3%), Ponton (3.7%), DoofusWainwright (3.3%), Gameofmetal (3.1%), Conmaniac (2.9%)"
And So I Watch You From Afar,The Endless Shimmering,/album/259850/And-So-I-Watch-You-From-Afar-The-Endless-Shimmering/,60,3.656666667,3.648552888,-0.008,3.145991576,3.15 - 4.08,185,440,"Willie (8.5%), Calc (5.9%), AtomicWaste (5.6%), Lord%28e%29Po%29%29%29ts (5.0%), Ignimbrite (4.3%)"
Khmer,Larga Sombra,/album/257683/Khmer-Larga-Sombra/,18,3.805555556,4.047655405,0.242,3.145399208,3.15 - 4.64,186,158,"Trebor. (24.2%), Archelirion (14.1%), VaxXi (8.7%), Sniff (8.1%), hesperus (7.4%)"
Aversions Crown,Xenocide,/album/237695/Aversions-Crown-Xenocide/,169,3.710059172,3.446781663,-0.263,3.144041565,3.14 - 3.73,187,330,"Trebor. (5.0%), Jacquibim (3.1%), Gameofmetal (3.0%), Thor (2.8%), Chamberbelain (2.8%)"
Sunless,Urraca,/album/243285/Sunless-Urraca/,61,3.696721311,3.642209466,-0.055,3.143521945,3.14 - 4.07,188,348,"Hawks (6.3%), Xenophanes (5.6%), Jacquibim (5.2%), Archelirion (4.6%), mindleviticus (3.9%)"
Angles 9,Disappeared Behind the Sun,/album/245885/Angles-9-Disappeared-Behind-the-Sun/,47,3.659574468,3.708975697,0.049,3.142820942,3.14 - 4.18,189,435,"greg84 (7.8%), Jacquibim (6.8%), Archelirion (6.0%), jtswope (5.9%), scissorlocked (3.9%)"
The Flight of Sleipnir,Skadi,/album/242709/The-Flight-of-Sleipnir-Skadi/,29,3.793103448,3.857708252,0.065,3.142028906,3.14 - 4.4,190,176,"Storm+In+A+Teacup (13.1%), linguist2011 (13.0%), Metalstyles (11.5%), PsychicChris (9.8%), Inveigh (9.3%)"
Charli XCX,Number 1 Angel,/album/246827/Charli-XCX-Number-1-Angel/,86,3.459302326,3.563338591,0.104,3.141486691,3.14 - 3.94,2,6,"theacademy (6.2%), Brostep (5.7%), JamieTwort (5.6%), jtswope (5.4%), Hurricanslash (5.0%)"
Smidley,Smidley,/album/250107/Smidley-Smidley/,46,3.667391304,3.713419809,0.046,3.141204374,3.14 - 4.18,191,406,"klap (9.4%), Rowan5215 (8.0%), Conmaniac (6.9%), Papa+Universe (6.9%), ashcrash9 (3.8%)"
Big Thief,Capacity,/album/251022/Big-Thief-Capacity/,99,3.709090909,3.533549347,-0.176,3.139685507,3.14 - 3.89,192,331,"klap (4.8%), Atari (4.7%), DoofusWainwright (3.8%), Conmaniac (3.5%), Irving (3.4%)"
Less Art,Strangled Light,/album/258173/Less-Art-Strangled-Light/,64,3.55,3.626043093,0.076,3.138581158,3.14 - 4.05,193,641,"Hawks (5.5%), greg84 (5.0%), linguist2011 (4.9%), Scoot (4.3%), Conmaniac (4.0%)"
